Fe,Co,Cr,Ni,Al,Ti
21,25,16,32,4,2
21,24,16,33,4,2
21,23,14,37,4,1
21,14,21,38,4,2
22,20,17,30,9,2
21,15,20,34,8,2
22,18,18,36,4,2
17,22,16,37,6,2
21,16,14,39,8,2
21,15,14,40,8,2
21,14,14,41,8,2
21,20,19,30,8,2
22,19,16,32,10,1
22,18,16,34,9,1
22,20,16,31,10,1
21,14,15,38,10,2
18,23,16,32,9,2
17,23,16,33,9,2
22,17,16,36,8,1
18,20,17,39,4,2
18,19,17,40,4,2
18,18,17,41,4,2
18,18,17,38,7,2
17,20,17,40,4,2
16,20,17,41,4,2
17,19,17,41,4,2
21,20,13,38,6,2
20,23,13,38,4,2
21,22,16,35,5,1
15,22,19,38,4,2
16,22,18,38,4,2
22,18,13,38,8,1
16,22,17,38,5,2
21,16,16,42,4,1
21,15,16,43,4,1
21,14,16,44,4,1
21,13,16,45,4,1
22,18,16,33,10,1
22,20,16,32,9,1
22,19,16,33,9,1
21,15,19,37,6,2
21,16,18,37,6,2
21,19,15,38,5,2
21,21,15,37,4,2
21,15,15,38,9,2
21,18,16,34,10,1
20,22,17,31,8,2
21,19,16,34,9,1
21,13,17,39,9,1
22,21,17,28,10,2
21,21,19,32,5,2
21,21,18,33,5,2
21,15,14,38,10,2
22,22,16,33,6,1
18,18,16,42,4,2
21,21,16,33,8,1
22,19,13,40,4,2
22,18,13,41,4,2
16,20,16,42,4,2
17,19,16,42,4,2
15,20,16,43,4,2
16,19,16,43,4,2
17,18,16,43,4,2
15,19,16,44,4,2
16,18,16,44,4,2
15,18,16,45,4,2
21,17,20,32,8,2
21,16,20,33,8,2
21,16,20,37,4,2
21,14,20,38,5,2
20,18,16,38,7,1
21,23,19,29,6,2
21,23,18,30,6,2
22,17,13,39,7,2
18,22,17,37,4,2
22,14,20,38,4,2
22,14,17,39,7,1
22,13,17,38,9,1
22,21,16,33,7,1
21,20,16,32,10,1
21,19,16,33,10,1
21,18,16,35,9,1
21,16,15,39,7,2
21,15,15,40,7,2
21,14,15,41,7,2
21,23,14,36,4,2
22,18,15,39,4,2
22,13,17,39,8,1
22,21,17,29,9,2
15,18,16,42,7,2
21,21,16,34,7,1
21,16,14,38,9,2
18,22,16,35,7,2
21,18,18,36,5,2
21,22,20,27,8,2
15,21,16,37,9,2
22,16,14,38,8,2
22,20,17,33,6,2
22,19,17,34,6,2
19,17,16,40,6,2
19,16,16,41,6,2
21,19,14,38,7,1
21,20,16,33,9,1
17,22,16,36,7,2
21,27,16,31,4,1
21,26,16,32,4,1
21,25,16,33,4,1
21,24,16,34,4,1
21,23,15,35,4,2
19,22,16,31,10,2
21,15,13,39,10,2
21,14,13,40,10,2
21,13,13,41,10,2
15,22,17,38,6,2
21,19,13,39,7,1
21,18,13,40,7,1
21,17,13,41,7,1
15,20,17,39,7,2
16,19,17,39,7,2
15,19,17,40,7,2
19,20,16,35,8,2
21,21,19,29,8,2
21,21,18,30,8,2
21,22,16,34,6,1
19,21,16,34,8,2
22,21,16,31,9,1
20,17,19,38,4,2
22,23,20,29,4,2
21,13,20,34,10,2
15,20,17,38,8,2
16,19,17,38,8,2
22,18,17,35,6,2
22,16,13,40,7,2
22,15,13,41,7,2
19,19,16,36,8,2
21,20,19,28,10,2
21,19,19,29,10,2
21,20,18,29,10,2
21,19,18,30,10,2
22,22,16,29,10,1
19,22,16,32,9,2
22,13,17,40,7,1
21,16,13,39,9,2
21,15,13,40,9,2
21,14,13,41,9,2
17,18,17,39,7,2
16,18,17,40,7,2
15,18,17,41,7,2
22,17,16,34,10,1
22,16,16,35,10,1
22,15,16,36,10,1
22,17,15,40,4,2
22,16,15,41,4,2
21,20,14,38,5,2
21,21,16,31,10,1
17,18,17,38,8,2
21,21,13,40,4,1
21,14,20,34,9,2
20,22,17,32,7,2
22,21,16,36,4,1
15,22,17,39,5,2
22,18,14,38,7,1
22,13,18,39,6,2
21,18,19,30,10,2
21,20,19,29,9,2
21,19,19,30,9,2
21,20,18,30,9,2
22,16,15,38,7,2
21,20,13,37,7,2
22,22,16,30,9,1
21,22,20,28,7,2
20,21,16,35,6,2
20,21,16,36,5,2
22,17,16,35,9,1
22,16,16,36,9,1
21,13,22,38,4,2
20,21,16,38,4,1
19,17,17,38,7,2
16,22,16,34,10,2
15,22,16,35,10,2
22,19,14,39,4,2
21,21,16,32,9,1
21,15,20,32,10,2
21,14,20,33,10,2
21,20,13,41,4,1
20,17,17,37,7,2
20,15,16,42,5,2
20,14,16,43,5,2
20,13,16,44,5,2
21,16,20,31,10,2
21,23,20,29,5,2
19,16,17,38,8,2
21,22,20,25,10,2
22,16,13,39,8,2
21,20,16,38,3,2
20,16,17,37,8,2
21,18,18,38,4,1
21,15,15,39,8,2
21,14,15,40,8,2
21,13,15,41,8,2
21,21,19,30,7,2
22,21,14,38,4,1
22,18,13,39,7,1
21,22,16,30,10,1
22,15,13,38,10,2
18,23,16,38,4,1
21,17,16,35,10,1
21,16,16,36,10,1
22,15,16,42,4,1
22,14,16,43,4,1
22,13,16,44,4,1
15,22,18,39,4,2
22,21,17,32,6,2
20,14,19,38,7,2
20,15,18,38,7,2
17,22,16,34,9,2
16,22,16,35,9,2
21,16,20,34,7,2
15,19,17,39,8,2
21,16,20,32,9,2
21,15,20,33,9,2
21,21,19,27,10,2
21,21,18,28,10,2
21,17,20,31,9,2
20,13,19,38,8,2
20,14,18,38,8,2
19,17,17,41,4,2
21,22,20,26,9,2
19,23,16,35,5,2
21,18,14,38,8,1
15,20,16,37,10,2
16,19,16,37,10,2
19,21,16,35,7,2
15,22,16,36,9,2
18,17,16,41,6,2
22,16,13,38,9,2
21,18,13,39,8,1
21,17,13,40,8,1
21,16,13,41,8,1
19,14,16,42,7,2
19,13,16,43,7,2
21,17,16,36,9,1
22,19,18,31,8,2
18,22,16,32,10,2
17,22,16,33,10,2
21,20,17,37,4,1
16,18,17,39,8,2
15,18,17,40,8,2
19,13,16,42,8,2
20,17,17,38,6,2
21,21,19,28,9,2
21,21,18,29,9,2
22,17,14,41,4,2
